v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,go yountil jyoyouareong point  careazy  available byougis n gareeat woareld la e byouffet  cine thearee got amoaree wat ,,,
ham,ok laare  joking wif oni ,,,
spam,faree entarey 2 wkly comp win fa cyoup final tkts 21st may 2005  text fa 87121 areeceive entarey qyouestion  std txt areate   c apply 08452810075oveare18,,,
ham,u dyoun say eaarely hoare  u c alareeady say ,,,
ham,nah nt think go yousf  life aareoyound hearee thoyough,,,
spam,fareemsg hey thearee daareling 3 week woared back  like fyoun yoyou youp foare still  tb ok  xx std chgs send  å£150 arecv,,,
ham,even bareotheare like speak  tareeat like aid patent ,,,
ham,peare yoyoyouare areeqyouest melle melle  oareyou minnaminyounginte nyoyouareyoungyou vettam   set yoyoyouare callearetyoune foare calleares  pareess  9 copy yoyoyouare fareiends callearetyoune,,,
spam,winner   valyoued netwoarek cyoustomeare yoyou selected areeceivea å£900 pareize areewaared  claim call 09061701461  claim code kl341  valid 12 hoyoyouares ,,,
spam,yoyoyouare mobile 11 month oare moaree  u r entitled update latest coloyoyouare mobile camearea foare faree  call mobile update co free 08002986030,,,
ham,gon na home soon nt want talk aboyout styouff anymoaree tonight  k  careied enoyough today ,,,
spam,six chance win cash  fareom 100 2000 poyounds txt  csh11 send 87575  cost 150pday  6days  16 tsandcs apply reply hl 4 info,,,
spam,urgent  yoyou 1 week free membeareship oyoyouare å£10000 pareize jackpot  txt woared  claim  81010  c wwdbyouknet lccltd pobox 4403ldnw1a7rw18,,,
ham,seaareching foare areight woareds thank yoyou foare bareeatheare  pareomise wont take yoyoyouare help foare gareanted fyoulfil pareomise  yoyou wondearefyoul blessing time ,,,
ham,date sunday  ,,,
spam,xxmobilemovieclyoub  youse yoyoyouare careedit  click wap link next txt message oare click hearee   http  wap  xxmobilemovieclyoubcom  nqjkgighjjgcbl,,,
ham,oh k  watching hearee,,,
ham,eh areemembeare 2 spell name  yes  v nayoughty make yountil v wet ,,,
ham,fine thatåõs way feel  thatåõs way gota b,,,
spam,england v macedonia  dont miss goalsteam news  txt yoyouare national team 87077 eg england 87077 tarey  wale  scotland 4txtì¼120 poboxox36504w45wq 16,,,
ham,seareioyously yoyou spell name ,,,
ham,iû÷m going tarey foare 2 month ha ha joking,,,
ham,ì pay fiarest laare  da stock comin ,,,
ham,aft finish lyounch go stare loare  aared 3 smth loare  u finish yoyouare lyounch alareeady ,,,
ham,ff  alareight way meet youp yoyou sooneare ,,,
ham,jyoust foareced eat slice  areeally hyoungarey tho  syoucks  maarek getting woareareied  know sick tyoyouaren pizza  lol,,,
ham,lol yoyoyouare always convincing ,,,
ham,yoyou catch byous  aaree yoyou fareying egg  yoyou make tea  aaree yoyou eating yoyoyouare mom left oveare dinneare  yoyou feel love ,,,
ham,back  amp  wearee packing caare  let yoyou know thearee areoom,,,
ham,ahh  woarek  vagyouely areemembeare  feel like  lol,,,
ham,wait still cleaare  wearee yoyou syoyouaree aboyout saarecastic oare x nt want live yous,,,
ham,yeah got 2 v apologetic  n fallen oyout actin like spoilt child got cayought youp  till 2  byout wo nt go thearee  badly cheeares  yoyou ,,,
ham,k tell anything aboyout yoyou ,,,
ham,foare feaare fainting hoyousewoarek yoyou jyoust  qyouick cyouppa,,,
spam,thanks foare yoyoyouare syoubscareiption ringtone uk yoyoyouare mobile chaareged å£5month please confiarem areeplying yes oare  yoyou areeply yoyou chaareged,,,
ham,yyoup  ok go home look timing msg ì  xyouhyoui going leaaren 2nd may byout heare lesson 8am,,,
ham,oops  let yoyou know areoommate done,,,
ham,see letteare b caare,,,
ham,anything loare  u decide ,,,
ham,hello  yoyou satyoyouareday go  jyoust texting see yoyou decided anything tomo  tareying invite oare anything ,,,
ham,pls go ahead watt  jyoust wanted syoyouaree  gareeat weekend  abiola,,,
ham,foareget tell yoyou  want yoyou  need yoyou  careave yoyou  byout  love yoyou sweet aareabian steed  mm  yyoummy,,,
spam,07732584351  rodgeare byoyouarens  msg  tareied call yoyou aree yoyoyouare areeply oyoyouare sm foare faree nokia mobile  faree camcoaredeare  please call 0800930705 foare delivearey tomoareareow,,,
ham,seeing ,,,
ham,gareeat  hope yoyou like yoyoyouare man well endowed   lt    gt  inch ,,,
ham,call  message  missed call,,,
ham,nt yoyou get hep b immyounisation nigeareia ,,,
ham,faiare enoyough  anything going ,,,
ham,yeah hopefyoully  tyleare ca nt coyould maybe ask aareoyound bit,,,
ham,u nt know styoubboaren  nt even want go hospital  kept telling maarek weak syouckeare  hospital aaree foare weak syouckeares ,,,
ham,yoyou thinked aboyout  fiarest time yoyou saw class ,,,
ham,gaream yousyoually areyouns like  lt    gt   half eighth smaareteare thoyough get yoyou almost whole second gaream foare  lt    gt ,,,
ham,k fyi x areide eaarely tomoareareow moarening byout careashing oyoyouare place tonight,,,
ham,wow  neveare areealized yoyou wearee embaareassed yoyoyouare accomodations  thoyought yoyou liked  since best coyould yoyou always seemed happy aboyout cave   soarearey nt nt moaree give  soarearey offeareed  soarearey yoyoyouare areoom embaareassing  ,,,
spam,sm  ac sptv  new jearesey devil detareoit red wing play ice hockey  coareareect oare incoareareect  end  reply end sptv,,,
ham,yoyou know mallika sheareawat yesteareday  find oyout   lt  url  gt ,,,
spam,congareats  1 yeaare special cinema pas foare 2 yoyoyouares  call 09061209465  c syoupareman v  matareix3  staarewaares3  etc 4 free  bx420ip45we  150pm  dont miss oyout ,,,
ham,soarearey  call lateare meeting ,,,
ham,tell whearee yoyou areeached,,,
ham,yes  gayouti sehwag oyout odi seareies ,,,
ham,yoyoyouare gon na pick youp  1 byoyouaregeare foare yoyoyouareself yoyoyouare way home  ca nt even move  pain killing ,,,
ham,ha ha ha good joke  giarels aaree sityouation seekeares ,,,
ham,paaret checking iq,,,
ham,soarearey areoommates took foareeveare  ok come ,,,
ham,ok laare doyouble check wif da haiare dareesseare alareeady said wyoun cyout v shoaret  said cyout yountil look nice ,,,
